id_transaccion,id_cliente,nombre_cliente,cuenta_origen,fecha,monto,divisa,tipo_transaccion,ciudad,cuenta_destino,categoria,hora_movimiento,concepto_movimiento,saldo_previo,saldo_posterior,canal_transaccion,medio_pago,estatus,fraude_probable
1,22672,Adan Pelayo,2.47876e+17,17/12/2024,723.9,MXN,Compra en linea,Ciudad Juarez,8.66464e+17,Consumo,21:01:17,Suscripcion streaming,36658.39,35934.49,Web,Pago movil,Completada,No
2,25513,Teodoro Verduzco,580678000000000.0,07/03/2025,274.44,MXN,Pago de nomina,Hermosillo,4.51647e+17,Ingreso,12:14:07,Nomina mensual,52414.54,52688.98,App movil,SPEI,Completada,No
3,10395,Hector Miguel Angel Perales,8.827e+17,22/11/2024,109.76,MXN,Transferencia,Guadalajara,2.66924e+17,Transferencia personal,22:24:01,Pago a proveedor,53425.83,53316.07,Sucursal bancaria,SPEI,Completada,No
4,21487,Israel Lucas Lovato Solorio,4.86924e+17,13/09/2025,51.2,MXN,Transferencia,Culiacan,7.23945e+17,Servicios,18:23:12,Pago a tercero,38813.83,38813.83,App movil,SPEI,Pendiente,No
5,9332,Julia Reynaldo Gaitan,9.95989e+17,22/06/2025,2699.64,MXN,Pago de servicio,Toluca,1.35871e+17,Servicios,10:34:28,Pago telefonia,16658.48,13958.84,Domiciliacion,Tarjeta credito,Completada,No
6,2121,Jacinto Mota Lovato,1.62259e+17,25/09/2025,564.13,MXN,Deposito,Cancun,1.62259e+17,Ahorro,11:18:09,Deposito por cheque,16616.86,17180.99,Corresponsal,Cheque,Completada,No
7,19050,Maria Elena Arturo Almanza,8.21389e+17,07/04/2025,868.31,MXN,Transferencia,Queretaro,1.82223e+17,Servicios,12:56:23,Abono a tarjeta,6769.04,5900.73,Web,Transferencia bancaria,Completada,No
8,20534,Lucia Barreto Raya,9.91868e+17,11/11/2024,538.27,MXN,Compra en linea,Oaxaca,3.51096e+17,Consumo,20:34:27,Suscripcion streaming,30656.45,30118.18,App movil,Tarjeta credito,Completada,No
9,20960,Jorge Luis Benavidez Arredondo,1.06133e+17,04/01/2025,933.4,MXN,Compra en linea,Queretaro,9.97866e+16,Consumo,06:59:48,Suscripcion streaming,26215.51,25282.11,Web,Tarjeta credito,Completada,No
10,20882,Diego Cornelio Sotelo Loya,2.52205e+17,16/09/2025,1366.26,MXN,Transferencia,San Luis Potosi,1.40851e+16,Servicios,02:08:58,Transferencia a familiar,645.47,-720.79,Web,Transferencia bancaria,Completada,No
11,7620,Jose Guzman,8.80929e+17,24/09/2025,1423.0,MXN,Pago de nomina,Oaxaca,7.15234e+17,Ingreso,09:27:55,Nomina mensual,14188.5,15611.5,Sucursal bancaria,Transferencia bancaria,Completada,No
12,21631,Alicia Munoz Corrales,9.51066e+17,05/11/2024,1749.13,MXN,Transferencia internacional,Toluca,2.81214e+16,Remesas,20:27:34,Pago internacional,19749.51,18000.38,Web,Transferencia internacional,Completada,No
13,15891,Mateo Barragan,5.37042e+17,31/01/2025,215.23,MXN,Pago de nomina,Queretaro,4.05749e+17,Nomina,04:42:57,Pago trabajador,39805.81,40021.04,App movil,Transferencia bancaria,Completada,No
14,8943,Marisol Garay Castellanos,6.34868e+17,19/08/2025,580.32,MXN,Retiro,San Luis Potosi,1.46815e+17,Efectivo,09:41:07,Retiro en cajero,3024.81,2444.49,Cajero automatico,Efectivo,Completada,No
15,8151,Veronica Peralta,6.92266e+17,17/10/2025,1206.84,MXN,Transferencia,San Luis Potosi,2.07612e+16,Transferencia personal,00:44:08,Pago a tercero,38292.4,37085.56,App movil,SPEI,Completada,No
16,2721,Nicolas Miranda,8.65424e+17,04/09/2025,158.98,MXN,Transferencia,Leon,9.79755e+17,Transferencia personal,12:25:33,Pago a tercero,28084.63,27925.65,App movil,SPEI,Completada,No
17,24793,Martha Montanez Preciado,9.63406e+17,10/07/2025,89.42,MXN,Compra en linea,Culiacan,7.14999e+17,Consumo,21:28:18,Compra Amazon,1613.4,1523.98,App movil,Pago movil,Completada,No
18,3181,Ramiro Garrido Ruiz,5.75437e+16,20/05/2025,2666.84,MXN,Transferencia,Culiacan,1.11267e+17,Servicios,18:52:57,Pago a tercero,12042.8,9375.96,Sucursal bancaria,Transferencia bancaria,Completada,No
19,19038,Micaela Guardado,5.42893e+17,09/08/2025,514.7,MXN,Transferencia internacional,Monterrey,4.69477e+17,Transferencia personal,02:04:50,SWIFT a extranjero,30833.51,30318.81,Sucursal bancaria,SWIFT,Completada,No
20,17340,Israel Marrero Enriquez,2.92605e+17,03/08/2025,136.21,MXN,Transferencia,Queretaro,3.07576e+17,Servicios,08:41:27,Transferencia a familiar,18068.52,18068.52,App movil,Transferencia bancaria,Cancelada,No
21,4631,Marisol Calvillo,1.68748e+17,16/05/2025,2239.23,MXN,Retiro,Hermosillo,5.30344e+17,Consumo,16:22:30,Retiro en ventanilla,43557.99,41318.76,Sucursal bancaria,Efectivo,Completada,No
22,19050,Maria Elena Arturo Almanza,8.21389e+17,27/01/2025,2232.82,MXN,Deposito,Veracruz,8.21389e+17,Ingreso,12:26:25,Deposito por transferencia,41763.04,43995.86,Cajero automatico,Deposito en ventanilla,Completada,No
23,15598,Horacio de Jesus Pineda,2.00416e+17,11/08/2025,685.84,MXN,Pago de servicio,Queretaro,5.40165e+17,Servicios,16:43:42,Pago internet,30962.74,30276.9,Domiciliacion,Tarjeta debito,Completada,No
24,4089,Ruben Hugo Delgadillo Valle,8.90595e+17,02/12/2024,622.73,MXN,Deposito,Culiacan,8.90595e+17,Ahorro,20:52:45,Deposito por cheque,42559.81,43182.54,Cajero automatico,Efectivo,Completada,No
25,15507,Serafin Alicia Hernadez,4.80796e+17,27/07/2025,578.73,MXN,Pago de nomina,Hermosillo,6.48244e+17,Nomina,13:14:17,Nomina mensual,39625.46,40204.19,App movil,Transferencia bancaria,Completada,No
26,13429,Elena Acuna Arreola,9.82491e+17,29/11/2024,3293.38,MXN,Retiro,Leon,7.75857e+17,Consumo,05:30:43,Retiro en cajero,49412.32,46118.94,Sucursal bancaria,Efectivo,Completada,No
27,18187,Pilar Valverde Carrion,7.54818e+16,08/02/2025,211.06,MXN,Deposito,Chihuahua,7.54818e+16,Ingreso,05:20:17,Deposito por transferencia,31505.12,31716.18,Cajero automatico,Deposito en ventanilla,Completada,No
28,9048,Juana Concepcion,8.12132e+17,02/11/2024,2230.83,MXN,Transferencia,Guadalajara,6.47801e+17,Servicios,23:05:05,Transferencia a familiar,52684.66,50453.83,Sucursal bancaria,Transferencia bancaria,Completada,No
29,9173,Hector Bruno Montemayor,5.31717e+17,29/08/2025,1129.52,MXN,Pago de servicio,Ciudad Juarez,2.46615e+17,Servicios,19:43:44,Pago luz,26566.85,25437.33,Web,Tarjeta credito,Completada,No
30,12462,Celia Padilla Serrato,5.73635e+17,24/05/2025,586.1,MXN,Transferencia,Puebla,9.65002e+17,Transferencia personal,06:23:26,Abono a tarjeta,19617.87,19031.77,App movil,SPEI,Completada,No
31,3780,Olivia Chapa Alcala,9.68686e+17,20/06/2025,3591.9,MXN,Transferencia,Veracruz,2.17308e+17,Servicios,06:07:36,Transferencia a familiar,51602.09,48010.19,Web,SPEI,Completada,No
32,20310,Cristina Cazares,3.96505e+17,01/02/2025,409.71,MXN,Pago de servicio,Merida,1.71113e+17,Servicios,12:22:44,Pago TV por cable,15671.14,15261.43,Domiciliacion,Tarjeta credito,Completada,No
33,19043,Esparta Godinez,5.18208e+17,04/11/2024,533.21,MXN,Transferencia,Veracruz,1.93263e+17,Transferencia personal,08:34:48,Transferencia a familiar,41477.24,40944.03,Web,SPEI,Completada,No
34,19248,Jacobo Gerardo Noriega Casillas,4.45881e+17,07/09/2025,2461.95,MXN,Transferencia internacional,Oaxaca,3.88062e+17,Transferencia personal,02:56:42,Envio remesas,30917.52,28455.57,Web,Transferencia internacional,Completada,No
35,2809,Jacobo Estefania Lucero,7.07422e+17,12/02/2025,3366.22,MXN,Pago de nomina,Guadalajara,8.24277e+17,Ingreso,17:55:11,Pago trabajador,12363.04,15729.26,App movil,Transferencia bancaria,Completada,No
36,9540,Mauricio Irizarry,7.80021e+17,08/08/2025,148541.4,MXN,Transferencia,Guadalajara,3.08124e+17,Servicios,01:28:59,Pago a proveedor,19102.08,-129439.32,App movil,Transferencia bancaria,Completada,Si
37,24467,Santiago Acevedo,4.37909e+17,12/12/2024,2575.74,MXN,Deposito,Cancun,4.37909e+17,Ingreso,01:40:37,Abono nomina,25092.04,27667.78,Cajero automatico,Deposito en ventanilla,Completada,No
38,7552,Isaac Gamez,1.27311e+17,21/04/2025,830.41,MXN,Pago de servicio,Veracruz,5.2818e+17,Servicios,15:36:55,Pago luz,20777.43,19947.02,Domiciliacion,SPEI,Completada,No
